record_id,area,disease,date,cases
REC_00136,Shivajinagar,Malaria,2026-01-12,3
REC_00137,Shivajinagar,Diarrhea,2026-02-27,4
REC_00138,Kalyani Nagar,Dengue,2025-12-04,3
REC_00139,Shivajinagar,Dengue,2026-01-01,2
REC_00140,Koregaon Park,Diarrhea,2025-12-04,4
REC_00141,Shivajinagar,Malaria,2026-01-04,1
REC_00142,Wakad,Diarrhea,2026-02-14,1
REC_00143,Koregaon Park,Dengue,2026-02-18,4
REC_00144,Koregaon Park,Dengue,2025-12-12,2
REC_00145,Kalyani Nagar,Diarrhea,2025-12-24,4
REC_00146,Hingne Khurd,Diarrhea,2026-01-26,2
REC_00147,Hingne Khurd,Dengue,2025-12-01,1
REC_00148,Shivajinagar,Malaria,2026-02-25,3
REC_00149,Koregaon Park,Diarrhea,2026-01-04,2
REC_00150,Hingne Khurd,Dengue,2025-12-24,2
REC_00151,Hingne Khurd,Dengue,2026-01-02,4
REC_00152,Shivajinagar,Dengue,2025-12-11,6
REC_00153,Hingne Khurd,Typhoid,2025-12-18,4
REC_00154,Baner,Diarrhea,2026-01-05,3
REC_00155,Kothrud,Diarrhea,2025-11-30,3
REC_00156,Kalyani Nagar,Diarrhea,2026-01-28,3
REC_00157,Kothrud,Diarrhea,2026-02-04,1
REC_00158,Shivajinagar,Diarrhea,2026-01-17,0
REC_00159,Wakad,Diarrhea,2026-02-27,2
REC_00160,Kalyani Nagar,Dengue,2026-02-16,1
REC_00161,Shivajinagar,Diarrhea,2026-01-14,3
REC_00162,Koregaon Park,Diarrhea,2026-01-16,1
REC_00163,Wakad,Diarrhea,2026-02-05,6
REC_00164,Kothrud,Malaria,2025-12-18,2
REC_00165,Shivajinagar,Dengue,2026-02-25,3
REC_00166,Koregaon Park,Diarrhea,2026-01-08,3
REC_00167,Kalyani Nagar,Diarrhea,2025-12-05,0
REC_00168,Kalyani Nagar,Typhoid,2026-02-17,3
REC_00169,Viman Nagar,Malaria,2026-01-31,3
REC_00170,Koregaon Park,Diarrhea,2026-01-03,2
REC_00171,Baner,Diarrhea,2026-02-09,3
REC_00172,Hingne Khurd,Typhoid,2026-01-29,1
REC_00173,Wakad,Diarrhea,2025-12-04,3
REC_00174,Koregaon Park,Diarrhea,2026-01-05,3
REC_00175,Viman Nagar,Diarrhea,2026-02-13,7
REC_00176,Hingne Khurd,Diarrhea,2026-02-26,0
REC_00177,Hingne Khurd,Cholera,2026-02-25,6
REC_00178,Shivajinagar,Dengue,2025-12-10,4
REC_00179,Hingne Khurd,Dengue,2026-01-08,4
REC_00180,Baner,Cholera,2026-02-02,3
REC_00181,Kalyani Nagar,Diarrhea,2025-12-07,7
REC_00182,Viman Nagar,Diarrhea,2026-02-24,3
REC_00183,Hingne Khurd,Diarrhea,2026-02-21,2
REC_00184,Shivajinagar,Dengue,2025-12-10,6
REC_00185,Baner,Diarrhea,2026-02-08,2
REC_00186,Kothrud,Diarrhea,2026-01-26,2
REC_00187,Kalyani Nagar,Malaria,2026-01-16,5
REC_00188,Kalyani Nagar,Malaria,2025-12-12,2
REC_00189,Viman Nagar,Typhoid,2026-01-28,1
REC_00190,Kalyani Nagar,Dengue,2026-01-17,5
REC_00191,Hingne Khurd,Typhoid,2026-02-04,0
REC_00192,Shivajinagar,Dengue,2025-12-06,3
REC_00193,Kalyani Nagar,Diarrhea,2026-02-14,1
REC_00194,Kalyani Nagar,Cholera,2025-12-24,3
REC_00195,Kothrud,Diarrhea,2025-12-22,3
REC_00196,Kothrud,Diarrhea,2026-01-19,3
REC_00197,Wakad,Diarrhea,2026-01-15,2
REC_00198,Baner,Malaria,2025-12-04,5
REC_00199,Hingne Khurd,Dengue,2025-12-12,6
REC_00200,Kalyani Nagar,Cholera,2026-01-10,5
REC_00201,Koregaon Park,Diarrhea,2025-12-04,2
REC_00202,Kalyani Nagar,Diarrhea,2025-12-22,2
REC_00203,Shivajinagar,Malaria,2026-01-30,7
REC_00204,Wakad,Dengue,2025-11-30,3
REC_00205,Baner,Dengue,2026-02-11,4
REC_00206,Koregaon Park,Diarrhea,2026-01-22,2
REC_00207,Wakad,Diarrhea,2026-02-09,2
REC_00208,Viman Nagar,Diarrhea,2025-12-02,2
REC_00209,Baner,Typhoid,2026-02-20,7
REC_00210,Kalyani Nagar,Dengue,2026-02-01,0
REC_00211,Kalyani Nagar,Malaria,2026-01-19,8
REC_00212,Baner,Dengue,2025-12-01,5
REC_00213,Kalyani Nagar,Diarrhea,2026-01-17,4
REC_00214,Hingne Khurd,Dengue,2025-12-30,6
REC_00215,Baner,Cholera,2026-02-11,2
REC_00216,Wakad,Dengue,2026-02-17,5
REC_00217,Baner,Cholera,2026-02-21,3
REC_00218,Koregaon Park,Diarrhea,2025-12-02,2
REC_00219,Kalyani Nagar,Cholera,2026-01-03,6
REC_00220,Hingne Khurd,Diarrhea,2026-02-22,5
REC_00221,Hingne Khurd,Cholera,2026-01-04,5
REC_00222,Viman Nagar,Dengue,2026-02-01,3
REC_00223,Wakad,Diarrhea,2025-12-31,3
REC_00224,Kothrud,Cholera,2025-12-17,3
REC_00225,Kothrud,Dengue,2026-01-02,4
REC_00226,Baner,Dengue,2026-01-24,3
REC_00227,Viman Nagar,Diarrhea,2026-02-04,2
REC_00228,Shivajinagar,Cholera,2026-01-21,2
REC_00229,Baner,Diarrhea,2026-02-04,1
REC_00230,Viman Nagar,Diarrhea,2026-02-03,1
REC_00231,Wakad,Dengue,2026-02-01,3
REC_00232,Wakad,Dengue,2026-02-04,5
REC_00233,Wakad,Typhoid,2026-02-18,2
REC_00234,Wakad,Dengue,2026-01-07,3
REC_00235,Wakad,Diarrhea,2026-01-06,5
REC_00236,Viman Nagar,Cholera,2026-01-08,2
REC_00237,Viman Nagar,Dengue,2025-12-18,2
REC_00238,Hingne Khurd,Diarrhea,2026-02-20,3
REC_00239,Koregaon Park,Dengue,2025-12-04,3
REC_00240,Kothrud,Diarrhea,2026-02-06,1
REC_00241,Kalyani Nagar,Dengue,2025-12-13,5
REC_00242,Wakad,Diarrhea,2026-01-17,5
REC_00243,Shivajinagar,Malaria,2026-02-01,1
REC_00244,Kalyani Nagar,Diarrhea,2026-01-25,4
REC_00245,Viman Nagar,Diarrhea,2026-01-03,5
REC_00246,Shivajinagar,Dengue,2026-02-22,3
REC_00247,Shivajinagar,Diarrhea,2025-12-04,1
REC_00248,Shivajinagar,Malaria,2026-02-25,5
REC_00249,Hingne Khurd,Diarrhea,2026-01-07,5
REC_00250,Viman Nagar,Dengue,2025-12-23,4
REC_00251,Shivajinagar,Diarrhea,2026-01-08,3
REC_00252,Wakad,Dengue,2026-01-18,3
REC_00253,Baner,Diarrhea,2026-02-14,3
REC_00254,Shivajinagar,Dengue,2026-01-26,2
REC_00255,Hingne Khurd,Diarrhea,2025-11-30,2
REC_00256,Kalyani Nagar,Dengue,2026-01-11,4
REC_00257,Viman Nagar,Typhoid,2026-01-07,1
REC_00258,Koregaon Park,Typhoid,2025-12-09,2
REC_00259,Hingne Khurd,Dengue,2025-12-01,3
REC_00260,Shivajinagar,Diarrhea,2026-01-31,0
REC_00261,Viman Nagar,Dengue,2025-12-15,2
REC_00262,Baner,Malaria,2026-01-05,2
REC_00263,Shivajinagar,Diarrhea,2025-12-15,2
REC_00264,Hingne Khurd,Diarrhea,2026-02-24,4
REC_00265,Kothrud,Diarrhea,2026-02-27,3
REC_00266,Wakad,Dengue,2026-02-17,1
REC_00267,Koregaon Park,Malaria,2025-12-26,5
REC_00268,Kalyani Nagar,Dengue,2026-01-31,4
REC_00269,Hingne Khurd,Diarrhea,2026-02-01,5
REC_00270,Viman Nagar,Diarrhea,2025-12-31,3
REC_00271,Koregaon Park,Diarrhea,2025-12-08,3
REC_00272,Koregaon Park,Dengue,2025-12-10,2
REC_00273,Koregaon Park,Malaria,2026-02-07,2
REC_00274,Shivajinagar,Malaria,2025-12-29,3
REC_00275,Wakad,Dengue,2025-12-14,1
REC_00276,Shivajinagar,Malaria,2026-01-27,2
REC_00277,Viman Nagar,Typhoid,2026-01-16,7
REC_00278,Shivajinagar,Typhoid,2026-02-19,2
REC_00279,Kothrud,Diarrhea,2026-02-13,3
REC_00280,Wakad,Diarrhea,2026-01-28,3
REC_00281,Wakad,Dengue,2026-02-05,4
REC_00282,Viman Nagar,Typhoid,2026-01-25,3
REC_00283,Kalyani Nagar,Dengue,2026-02-01,3
REC_00284,Kothrud,Cholera,2026-01-22,5
REC_00285,Hingne Khurd,Diarrhea,2026-02-17,1
REC_00286,Shivajinagar,Malaria,2026-02-24,2
REC_00287,Baner,Cholera,2026-02-12,2
REC_00288,Shivajinagar,Dengue,2026-01-22,4
REC_00289,Koregaon Park,Diarrhea,2026-01-27,1
REC_00290,Shivajinagar,Diarrhea,2026-02-25,2
REC_00291,Hingne Khurd,Dengue,2026-02-23,1
REC_00292,Shivajinagar,Diarrhea,2026-01-07,3
REC_00293,Kothrud,Diarrhea,2025-12-14,2
REC_00294,Kothrud,Diarrhea,2026-02-16,1
REC_00295,Wakad,Dengue,2026-02-11,4
REC_00296,Viman Nagar,Cholera,2025-12-27,4
REC_00297,Kalyani Nagar,Dengue,2026-01-04,1
REC_00298,Baner,Dengue,2026-01-22,0
REC_00299,Koregaon Park,Dengue,2025-12-16,1
REC_00300,Shivajinagar,Dengue,2026-02-23,2
REC_00301,Shivajinagar,Dengue,2026-02-24,2
REC_00302,Hingne Khurd,Cholera,2025-12-21,3
REC_00303,Viman Nagar,Malaria,2026-02-12,3
REC_00304,Kothrud,Dengue,2026-01-04,4
REC_00305,Baner,Dengue,2025-12-28,3
REC_00306,Wakad,Diarrhea,2026-01-23,2
REC_00307,Kothrud,Typhoid,2026-01-10,2
REC_00308,Koregaon Park,Dengue,2025-12-31,3
REC_00309,Viman Nagar,Dengue,2025-12-13,3
REC_00310,Koregaon Park,Dengue,2025-12-17,7
REC_00311,Kalyani Nagar,Dengue,2026-01-06,2
REC_00312,Wakad,Dengue,2026-01-02,2
REC_00313,Kalyani Nagar,Diarrhea,2026-01-13,4
REC_00314,Hingne Khurd,Dengue,2026-02-24,2
REC_00315,Koregaon Park,Diarrhea,2025-12-31,5
REC_00316,Hingne Khurd,Dengue,2026-02-04,3
REC_00317,Shivajinagar,Cholera,2026-01-31,4
REC_00318,Kalyani Nagar,Cholera,2026-01-23,2
REC_00319,Viman Nagar,Diarrhea,2026-01-11,4
REC_00320,Koregaon Park,Malaria,2025-12-21,2
REC_00321,Baner,Malaria,2026-02-24,3
REC_00322,Wakad,Diarrhea,2026-02-05,3
REC_00323,Kothrud,Diarrhea,2026-02-14,3
REC_00324,Viman Nagar,Diarrhea,2025-12-28,7
REC_00325,Viman Nagar,Typhoid,2026-01-08,2
REC_00326,Hingne Khurd,Cholera,2026-01-13,6
REC_00327,Kalyani Nagar,Malaria,2025-12-09,0
REC_00328,Koregaon Park,Diarrhea,2026-02-14,3
REC_00329,Koregaon Park,Dengue,2026-01-13,4
REC_00330,Shivajinagar,Dengue,2025-12-16,2
REC_00331,Shivajinagar,Diarrhea,2025-12-01,2
REC_00332,Wakad,Dengue,2025-12-16,3
REC_00333,Hingne Khurd,Typhoid,2026-02-27,4
REC_00334,Viman Nagar,Dengue,2026-01-06,4
REC_00335,Koregaon Park,Diarrhea,2026-01-05,0
REC_00336,Baner,Diarrhea,2026-01-31,0
REC_00337,Hingne Khurd,Diarrhea,2025-12-04,4
REC_00338,Wakad,Malaria,2025-12-24,5
REC_00339,Wakad,Typhoid,2026-02-10,4
REC_00340,Hingne Khurd,Diarrhea,2025-12-21,4
REC_00341,Wakad,Diarrhea,2026-01-31,6
REC_00342,Hingne Khurd,Dengue,2026-01-03,2
REC_00343,Kothrud,Diarrhea,2026-01-23,3
REC_00344,Hingne Khurd,Typhoid,2025-12-19,2
REC_00345,Kalyani Nagar,Diarrhea,2025-12-04,1
REC_00346,Hingne Khurd,Typhoid,2026-01-07,7
REC_00347,Wakad,Diarrhea,2026-01-31,3
REC_00348,Koregaon Park,Dengue,2025-12-31,2
REC_00349,Kalyani Nagar,Dengue,2026-01-31,5
REC_00350,Wakad,Malaria,2026-02-11,4
REC_00351,Shivajinagar,Diarrhea,2026-01-08,5
REC_00352,Shivajinagar,Diarrhea,2025-12-16,2
REC_00353,Koregaon Park,Dengue,2026-02-16,3
REC_00354,Koregaon Park,Diarrhea,2026-02-10,0
REC_00355,Kalyani Nagar,Diarrhea,2025-12-31,7
REC_00356,Kothrud,Diarrhea,2025-12-22,7
REC_00357,Koregaon Park,Dengue,2026-02-12,2
REC_00358,Shivajinagar,Dengue,2026-01-28,2
REC_00359,Hingne Khurd,Dengue,2026-02-14,3
REC_00360,Wakad,Dengue,2026-02-19,4
REC_00361,Shivajinagar,Dengue,2026-01-24,2
REC_00362,Shivajinagar,Dengue,2025-12-08,5
REC_00363,Kothrud,Diarrhea,2026-02-06,1
REC_00364,Kalyani Nagar,Malaria,2026-01-30,0
REC_00365,Kalyani Nagar,Cholera,2026-02-01,4
REC_00366,Viman Nagar,Dengue,2025-12-21,1
REC_00367,Kothrud,Malaria,2025-12-31,1
REC_00368,Hingne Khurd,Malaria,2026-01-15,2
REC_00369,Kalyani Nagar,Dengue,2025-12-01,1
REC_00370,Wakad,Typhoid,2026-02-22,1
REC_00371,Koregaon Park,Dengue,2026-01-20,1
REC_00372,Kothrud,Cholera,2026-02-25,3
REC_00373,Koregaon Park,Typhoid,2026-02-25,4
REC_00374,Shivajinagar,Diarrhea,2025-12-13,3
REC_00375,Wakad,Diarrhea,2026-01-05,2
REC_00376,Wakad,Diarrhea,2025-12-26,3
REC_00377,Shivajinagar,Malaria,2025-12-23,2
REC_00378,Kothrud,Diarrhea,2026-02-01,3
REC_00379,Shivajinagar,Dengue,2026-02-07,2
REC_00380,Koregaon Park,Dengue,2025-12-25,4
REC_00381,Viman Nagar,Diarrhea,2026-01-22,2
REC_00382,Wakad,Diarrhea,2025-12-14,4
REC_00383,Baner,Typhoid,2025-12-28,1
REC_00384,Baner,Dengue,2026-02-11,2
REC_00385,Koregaon Park,Typhoid,2025-12-27,4
REC_00386,Hingne Khurd,Dengue,2026-01-27,4
REC_00387,Kalyani Nagar,Malaria,2026-02-10,2
REC_00388,Shivajinagar,Malaria,2025-12-20,7
REC_00389,Shivajinagar,Diarrhea,2025-12-09,2
REC_00390,Hingne Khurd,Dengue,2025-12-03,1
REC_00391,Hingne Khurd,Diarrhea,2026-01-30,0
REC_00392,Koregaon Park,Typhoid,2025-12-03,3
REC_00393,Koregaon Park,Diarrhea,2025-12-05,2
REC_00394,Hingne Khurd,Diarrhea,2026-02-27,2
REC_00395,Wakad,Typhoid,2026-02-17,4
REC_00396,Koregaon Park,Diarrhea,2026-02-09,1
REC_00397,Viman Nagar,Diarrhea,2025-12-15,2
REC_00398,Koregaon Park,Dengue,2026-01-06,2
REC_00399,Shivajinagar,Typhoid,2026-01-17,3
REC_00400,Koregaon Park,Diarrhea,2026-01-29,1
REC_00401,Wakad,Dengue,2026-02-02,3
REC_00402,Hingne Khurd,Dengue,2026-02-20,2
REC_00403,Shivajinagar,Typhoid,2026-01-18,6
REC_00404,Koregaon Park,Dengue,2025-12-16,4
REC_00405,Wakad,Cholera,2025-12-27,4
REC_00406,Viman Nagar,Dengue,2026-01-12,2
REC_00407,Koregaon Park,Diarrhea,2025-12-11,1
REC_00408,Wakad,Malaria,2026-02-07,9
REC_00409,Viman Nagar,Diarrhea,2026-02-08,6
REC_00410,Hingne Khurd,Typhoid,2026-02-09,3
REC_00411,Koregaon Park,Diarrhea,2025-12-02,4
REC_00412,Viman Nagar,Diarrhea,2026-01-17,3
REC_00413,Shivajinagar,Dengue,2025-12-20,4
REC_00414,Hingne Khurd,Dengue,2025-12-07,5
REC_00415,Shivajinagar,Dengue,2026-02-01,2
REC_00416,Baner,Diarrhea,2026-01-27,2
REC_00417,Kothrud,Dengue,2025-12-29,4
REC_00418,Koregaon Park,Dengue,2025-12-31,1
REC_00419,Viman Nagar,Diarrhea,2026-02-12,7
REC_00420,Kothrud,Diarrhea,2025-12-19,2
REC_00421,Kothrud,Diarrhea,2025-12-15,5
REC_00422,Viman Nagar,Dengue,2025-12-24,5
REC_00423,Hingne Khurd,Dengue,2026-01-28,5
REC_00424,Koregaon Park,Cholera,2026-01-13,1
REC_00425,Baner,Dengue,2025-12-08,5
REC_00426,Shivajinagar,Typhoid,2026-01-19,5
REC_00427,Wakad,Typhoid,2026-01-29,2
REC_00428,Shivajinagar,Diarrhea,2026-01-08,4
REC_00429,Wakad,Dengue,2026-01-29,5
REC_00430,Shivajinagar,Typhoid,2026-02-04,6
REC_00431,Viman Nagar,Diarrhea,2026-02-17,3
REC_00432,Baner,Diarrhea,2026-02-13,3
REC_00433,Koregaon Park,Malaria,2025-12-14,4
REC_00434,Wakad,Dengue,2026-01-21,1
REC_00435,Koregaon Park,Dengue,2025-12-03,2
REC_00436,Koregaon Park,Diarrhea,2025-12-22,10
REC_00437,Koregaon Park,Diarrhea,2025-12-26,5
REC_00438,Kalyani Nagar,Malaria,2026-01-05,3
REC_00439,Hingne Khurd,Diarrhea,2026-02-14,3
REC_00440,Shivajinagar,Malaria,2026-01-11,2
REC_00441,Koregaon Park,Diarrhea,2026-01-05,3
REC_00442,Shivajinagar,Cholera,2026-02-22,2
REC_00443,Koregaon Park,Dengue,2025-12-28,5
REC_00444,Wakad,Malaria,2025-12-28,2
REC_00445,Hingne Khurd,Dengue,2026-01-17,5
REC_00446,Hingne Khurd,Diarrhea,2026-02-12,3
REC_00447,Viman Nagar,Diarrhea,2026-01-19,2
REC_00448,Kalyani Nagar,Cholera,2026-01-18,4
REC_00449,Viman Nagar,Dengue,2025-12-27,3
REC_00450,Viman Nagar,Cholera,2026-02-11,4
REC_00451,Viman Nagar,Dengue,2025-12-04,3
REC_00452,Viman Nagar,Diarrhea,2026-01-24,2
REC_00453,Viman Nagar,Dengue,2026-02-01,5
REC_00454,Baner,Typhoid,2026-02-26,2
REC_00455,Hingne Khurd,Diarrhea,2025-12-16,1
REC_00456,Viman Nagar,Diarrhea,2026-02-26,4
REC_00457,Koregaon Park,Typhoid,2026-01-23,2
REC_00458,Hingne Khurd,Dengue,2025-12-08,5
REC_00459,Hingne Khurd,Dengue,2026-02-26,3
REC_00460,Kothrud,Typhoid,2026-02-05,4
REC_00461,Baner,Malaria,2026-02-10,2
REC_00462,Viman Nagar,Dengue,2026-02-16,1
REC_00463,Shivajinagar,Diarrhea,2025-12-15,3
REC_00464,Wakad,Diarrhea,2025-12-15,3
REC_00465,Kalyani Nagar,Dengue,2025-12-12,5
REC_00466,Koregaon Park,Dengue,2026-02-15,5
REC_00467,Shivajinagar,Dengue,2026-02-23,1
REC_00468,Baner,Diarrhea,2026-02-22,2
REC_00469,Wakad,Typhoid,2026-02-10,6
REC_00470,Baner,Cholera,2026-01-31,1
REC_00471,Koregaon Park,Diarrhea,2026-01-09,3
REC_00472,Hingne Khurd,Dengue,2026-01-21,3
REC_00473,Wakad,Cholera,2026-02-05,4
REC_00474,Hingne Khurd,Diarrhea,2026-02-11,4
REC_00475,Koregaon Park,Dengue,2025-12-08,5
REC_00476,Shivajinagar,Cholera,2026-01-19,2
REC_00477,Koregaon Park,Diarrhea,2026-01-16,1
REC_00478,Shivajinagar,Diarrhea,2026-02-17,1
REC_00479,Wakad,Diarrhea,2026-01-17,3
REC_00480,Wakad,Dengue,2025-12-17,4
REC_00481,Viman Nagar,Dengue,2025-12-09,5
REC_00482,Baner,Diarrhea,2026-02-22,6
REC_00483,Viman Nagar,Dengue,2026-01-22,5
REC_00484,Baner,Diarrhea,2026-02-16,2
REC_00485,Viman Nagar,Diarrhea,2025-12-14,4
REC_00486,Hingne Khurd,Diarrhea,2025-12-10,3
REC_00487,Wakad,Diarrhea,2026-01-08,3
REC_00488,Shivajinagar,Diarrhea,2026-01-15,4
REC_00489,Baner,Typhoid,2025-12-19,1
REC_00490,Koregaon Park,Diarrhea,2025-12-21,1
REC_00491,Baner,Dengue,2026-01-16,6
REC_00492,Shivajinagar,Dengue,2026-02-19,1
REC_00493,Viman Nagar,Malaria,2025-12-15,2
REC_00494,Baner,Dengue,2025-12-04,2
